Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
2637,Camden,Southbank International School,41.4,Other Independent School,Not applicable
2626,Camden,St Patrick's Catholic Primary School,41.3,Voluntary Aided School,Primary
2625,Camden,The Village School,41.3,Other Independent School,Not applicable
2613,Camden,St Paul's Church of England Primary School,41.2,Voluntary Aided School,Primary
2612,Camden,St Eugene de Mazenod Roman Catholic Primary School,41.2,Voluntary Aided School,Primary
2597,Camden,Abacus Belsize Primary School,41.1,Free Schools,Primary
2581,Camden,Torriano Primary School,40.9,Community School,Primary
2558,Camden,Emmanuel Church of England Primary School,40.7,Voluntary Aided School,Primary
2557,Camden,"Holy Trinity and Saint Silas CofE Primary School, NW1",40.7,Voluntary Aided School,Primary
2556,Camden,St Christopher's School,40.7,Other Independent School,Not applicable
2540,Camden,Acland Burghley School,40.6,Community School,Secondary
2539,Camden,North Bridge House Senior School,40.6,Other Independent School,Not applicable
2532,Camden,Kings Cross Academy,40.5,Academy Sponsor Led,Primary
2488,Camden,Camden Centre for Learning (CCfL) Special School,40.2,Community Special School,Not applicable
2487,Camden,CCfL Key Stage 3 PRU,40.2,Pupil Referral Unit,Not applicable
2486,Camden,La Petite Ecole Bilingue,40.2,Other Independent School,Not applicable
2458,Camden,The Academy School,40,Other Independent School,Not applicable
2429,Camden,La Sainte Union Catholic Secondary School,39.8,Voluntary Aided School,Secondary
2419,Camden,The Hall School,39.7,Other Independent School,Not applicable
2418,Camden,Frank Barnes School for Deaf Children,39.7,Community Special School,Not applicable
2405,Camden,Parliament Hill School,39.6,Community School,Secondary
2386,Camden,Elfrida Rathbone Camden - Leighton Education Project,39.5,Special Post 16 Institution,16 Plus
2373,Camden,Beckford Primary School,39.4,Community School,Primary
2325,Camden,Primrose Hill School,39.1,Community School,Primary
2291,Camden,Trevor-Roberts School,38.9,Other Independent School,Not applicable
2290,Camden,College Francais Bilingue De Londres,38.9,Other Independent School,Not applicable
2277,Camden,New End Primary School,38.8,Community School,Primary
2244,Camden,"Christ Church Primary School, Hampstead",38.6,Voluntary Aided School,Primary
2227,Camden,Carlton Primary School,38.5,Community School,Primary
2226,Camden,Rainbow Montessori School,38.5,Other Independent School,Not applicable
2211,Camden,Sarum Hall School,38.4,Other Independent School,Not applicable
2210,Camden,Hereward House School,38.4,Other Independent School,Not applicable
2209,Camden,Lyndhurst House Preparatory School,38.4,Other Independent School,Not applicable
2208,Camden,Maria Montessori School,38.4,Other Independent School,Not applicable
2189,Camden,Broadhurst School,38.3,Other Independent School,Not applicable
2188,Camden,Kingsgate Primary School,38.3,Community School,Primary
2099,Camden,Heathside Preparatory School,37.8,Other Independent School,Not applicable
1878,Camden,University College School,36.5,Other Independent School,Not applicable
1859,Camden,William Ellis School,36.4,Voluntary Aided School,Secondary
1656,Camden,Brookfield Primary School,35.3,Community School,Primary
1655,Camden,St Margaret's School,35.3,Other Independent School,Not applicable
1495,Camden,Hampstead School,34.4,Community School,Secondary
3245,City of London,Sir John Cass's Foundation Primary School,62.60,Voluntary Aided School,Primary
3244,City of London,City of London School,62.60,Other Independent School,Not applicable
3235,City of London,St Paul's Cathedral School,60.30,Other Independent School,Not applicable
3166,City of London,Charterhouse Square School,52.2,Other Independent School,Not applicable
3089,City of London,London Metropolitan University,48.7,Higher Education Institutions,Not applicable
2836,City of London,City of London School for Girls,43.8,Other Independent School,Not applicable
2795,City of London,Guildhall School of Music and Drama,43.3,Higher Education Institutions,Not applicable
2661,Croydon,Croydon College,41.6,Further Education,16 Plus
2538,Croydon,Croydon Metropolitan College,40.6,Other Independent School,Not applicable
2457,Croydon,Maple House School,40,Other Independent School,Not applicable
2417,Croydon,Cressey College,39.7,Other Independent Special School,Not applicable
2276,Croydon,The Coningsby Pupil Referral Unit,38.8,Pupil Referral Unit,Not applicable
2262,Croydon,All Saints CofE Primary School,38.7,Voluntary Aided School,Primary
2243,Croydon,St Mary's Catholic High School,38.6,Voluntary Aided School,Secondary
2242,Croydon,Educational Excellence and Wellbeing,38.6,Other Independent School,Not applicable
2134,Croydon,Moving On Pupil Referral Unit,38,Pupil Referral Unit,Not applicable
2098,Croydon,Old Palace of John Whitgift School,37.8,Other Independent School,Not applicable
2050,Croydon,West Thornton Primary School,37.5,Academy Converter,Primary
1944,Croydon,St Joseph's College,36.9,Academy Converter,Secondary
1930,Croydon,Whitehorse Manor Infant School,36.8,Academy Converter,Primary
1929,Croydon,Whitehorse Manor Junior School,36.8,Academy Converter,Primary
1928,Croydon,St. Mary's Catholic Junior School,36.8,Academy Sponsor Led,Primary
1895,Croydon,CACFO Education Centre,36.6,Other Independent School,Not applicable
1877,Croydon,Harris Academy South Norwood,36.5,Academy Sponsor Led,Secondary
1858,Croydon,St Mary's Catholic Infant School,36.4,Academy Converter,Primary
1785,Croydon,Oasis Fiveways Academy Primary School,35.9,Academy Sponsor Led,Primary
1721,Croydon,Al-Khair School,35.6,Other Independent School,Not applicable
1720,Croydon,St Mark's Church of England Primary Academy,35.6,Academy Sponsor Led,Primary
1684,Croydon,St James the Great RC Primary and Nursery School,35.4,Academy Converter,Primary
1683,Croydon,Harris Primary Academy Haling Park,35.4,Academy Sponsor Led,Primary
1682,Croydon,Paxton Academy Sports and Science,35.4,Free Schools,Primary
1654,Croydon,Elmhurst School,35.3,Other Independent School,Not applicable
1653,Croydon,Hillcrest,35.3,Miscellaneous,Not applicable
1623,Croydon,Purley Nursery School,35.1,LA Nursery School,Nursery
1604,Croydon,The Crescent Primary School,35,Academy Converter,Primary
1587,Croydon,Broadmead Primary Academy,34.9,Academy Sponsor Led,Primary
1533,Croydon,Ark Oval Primary Academy,34.6,Academy Sponsor Led,Primary
1513,Croydon,St Joseph's RC Infant School,34.5,Voluntary Aided School,Primary
1468,Croydon,Selhurst Early Years Centre,34.2,LA Nursery School,Nursery
1448,Croydon,Thornton Heath Nursery School,34.1,LA Nursery School,Nursery
1447,Croydon,Chestnut Park Primary School,34.1,Academy Sponsor Led,Primary
1411,Croydon,Rockmount Primary School,33.9,Community School,Primary
1410,Croydon,Aerodrome Primary Academy,33.9,Academy Converter,Primary
1384,Croydon,Oasis Academy Shirley Park,33.8,Academy Sponsor Led,All Through
1367,Croydon,The Minster Junior School,33.7,Voluntary Aided School,Primary
1366,Croydon,The Minster Nursery and Infant School,33.7,Voluntary Aided School,Primary
1365,Croydon,St Andrew's CofE Voluntary Aided High School,33.7,Voluntary Aided School,Secondary
1333,Croydon,Howard Primary School,33.6,Community School,Primary
1332,Croydon,Virgo Fidelis Preparatory School,33.6,Other Independent School,Not applicable
1331,Croydon,Virgo Fidelis Convent Senior School,33.6,Voluntary Aided School,Secondary
1310,Croydon,Tunstall Nursery School,33.5,LA Nursery School,Nursery
1309,Croydon,Trinity School,33.5,Other Independent School,Not applicable
1287,Croydon,Kingsley Primary School,33.4,Community School,Primary
1262,Croydon,Winterbourne Junior Girls' School,33.3,Community School,Primary
1261,Croydon,Winterbourne Nursery and Infants' School,33.3,Community School,Primary
1260,Croydon,St Joseph's RC Junior School,33.3,Voluntary Aided School,Primary
1259,Croydon,Cambridge Tutors College,33.3,Other Independent School,Not applicable
1258,Croydon,Winterbourne Boys' Academy,33.3,Academy Sponsor Led,Primary
1238,Croydon,Christ Church CofE Primary School (Purley),33.2,Voluntary Aided School,Primary
1222,Croydon,Priory School,33.1,Community Special School,Not applicable
1221,Croydon,David Livingstone Academy,33.1,Academy Converter,Primary
1199,Croydon,St Chad's Catholic Primary School,33,Voluntary Aided School,Primary
1198,Croydon,Harris Academy Upper Norwood,33,Academy Sponsor Led,Secondary
1181,Croydon,Elmwood Junior School,32.9,Community School,Primary
1180,Croydon,Elmwood Infant School,32.9,Community School,Primary
1157,Croydon,Oakwood School,32.8,Other Independent School,Not applicable
1156,Croydon,Beulah Infants' School,32.8,Academy Sponsor Led,Primary
1129,Croydon,Beulah Junior School,32.7,Community School,Primary
1113,Croydon,Purley Oaks Primary School,32.6,Community School,Primary
1112,Croydon,Harris Invictus Academy Croydon,32.6,Free Schools,Secondary
1085,Croydon,Park Hill Infant School,32.5,Community School,Primary
1066,Croydon,Norbury Manor Primary School,32.4,Community School,Primary
1065,Croydon,St Cyprian's Greek Orthodox Primary Academy,32.4,Academy Converter,Primary
1050,Croydon,BRIT School for Performing Arts and Technology,32.3,City Technology College,Not applicable
1024,Croydon,Woodside Primary School and Children's Centre,32.2,Community School,Primary
997,Croydon,Downsview Primary and Nursery School,32.1,Community School,Primary
976,Croydon,Cypress Primary School,32,Community School,Primary
975,Croydon,Kensington Avenue Primary School,32,Community School,Primary
953,Croydon,Crosfield Nursery School,31.9,LA Nursery School,Nursery
952,Croydon,Park Hill Junior School,31.9,Foundation School,Primary
951,Croydon,Bensham Manor School,31.9,Community Special School,Not applicable
950,Croydon,Robert Fitzroy Academy,31.9,Academy Sponsor Led,Primary
949,Croydon,Heathfield Academy,31.9,Academy Sponsor Led,Primary
904,Croydon,Phil Edwards Pupil Referral Unit,31.6,Pupil Referral Unit,Not applicable
903,Croydon,Gonville Academy,31.6,Academy Converter,Primary
902,Croydon,Norbury Manor Business and Enterprise College for Girls,31.6,Academy Converter,Secondary
890,Croydon,St Giles School,31.5,Community Special School,Not applicable
872,Croydon,The Archbishop Lanfranc Academy,31.4,Academy Sponsor Led,Secondary
855,Croydon,South Norwood Primary School,31.3,Community School,Primary
854,Croydon,Heavers Farm Primary School,31.3,Community School,Primary
853,Croydon,Cumnor House School,31.3,Other Independent School,Not applicable
852,Croydon,South Norwood Primary School,31.3,Academy Sponsor Led,Primary
834,Croydon,Harris City Academy Crystal Palace,31.2,Academy Sponsor Led,Secondary
833,Croydon,Ecclesbourne Primary School,31.2,Academy Converter,Primary
797,Croydon,Rutherford School,31,Other Independent Special School,Not applicable
796,Croydon,Davidson Primary School,31,Community School,Primary
753,Croydon,Beckmead School,30.8,Community Special School,Not applicable
732,Croydon,Oasis Academy Ryelands,30.7,Academy Sponsor Led,Primary
685,Croydon,Regina Coeli Catholic Primary School,30.5,Voluntary Aided School,Primary
663,Croydon,St Thomas Becket Catholic Primary School,30.4,Academy Converter,Primary
616,Croydon,Cotelands PRU Co John Ruskin College,30.2,Pupil Referral Unit,Not applicable
596,Croydon,Monks Orchard School,30.1,Community School,Primary
584,Croydon,Archbishop Tenison's CofE High School,30,Voluntary Aided School,Secondary
583,Croydon,Selsdon Primary and Nursery School,30,Foundation School,Primary
582,Croydon,Whitgift School,30,Other Independent School,Not applicable
581,Croydon,Oasis Academy Arena,30,Academy Sponsor Led,Secondary
566,Croydon,St John's CofE Primary School,29.9,Voluntary Aided School,Primary
546,Croydon,Gresham Primary School,29.8,Community School,Primary
545,Croydon,The Cedars School,29.8,Other Independent School,Not applicable
488,Croydon,St Peter's Primary School,29.5,Community School,Primary
487,Croydon,Smitham Primary School,29.5,Community School,Primary
486,Croydon,Laleham Lea School,29.5,Other Independent School,Not applicable
485,Croydon,Harris Primary Academy Kenley,29.5,Academy Sponsor Led,Primary
447,Croydon,St David's School,29.3,Other Independent School,Not applicable
430,Croydon,Harris Academy Purley,29.2,Academy Sponsor Led,Secondary
395,Croydon,Coloma Convent Girls' School,29,Voluntary Aided School,Secondary
377,Croydon,Margaret Roper Catholic Primary School,28.9,Voluntary Aided School,Primary
376,Croydon,Thomas More Catholic School,28.9,Voluntary Aided School,Secondary
349,Croydon,Beaumont Primary School,28.7,Community School,Primary
348,Croydon,Orchard Way Primary School,28.7,Community School,Primary
327,Croydon,St Nicholas School,28.5,Community Special School,Not applicable
319,Croydon,Woodcote Primary School,28.4,Community School,Primary
300,Croydon,Shirley High School Performing Arts College,28.3,Academy Converter,Secondary
281,Croydon,Applegarth Academy,28.2,Academy Sponsor Led,Primary
280,Croydon,Harris Primary Academy Benson,28.2,Academy Sponsor Led,Primary
279,Croydon,Edenham High School,28.2,Academy Sponsor Led,Secondary
265,Croydon,Wolsey Junior Academy,28.1,Academy Sponsor Led,Primary
255,Croydon,John Ruskin College,28,Further Education,16 Plus
254,Croydon,Atwood Primary Academy,28,Academy Converter,Primary
246,Croydon,Coulsdon Nursery School,27.9,LA Nursery School,Nursery
237,Croydon,Good Shepherd Catholic Primary School,27.8,Voluntary Aided School,Primary
236,Croydon,Reedham Park School Limited,27.8,Other Independent School,Not applicable
235,Croydon,Chipstead Valley Primary School,27.8,Academy Converter,Primary
218,Croydon,Wolsey Infant School,27.6,Community School,Primary
217,Croydon,Forest Academy,27.6,Academy Converter,Primary
208,Croydon,Cumnor House School,27.5,Other Independent School,Not applicable
198,Croydon,Forestdale Primary School,27.4,Community School,Primary
197,Croydon,Ridgeway Primary School,27.4,Community School,Primary
187,Croydon,St Aidan's Catholic Primary School,27.3,Voluntary Aided School,Primary
186,Croydon,Royal Russell School,27.3,Other Independent School,Not applicable
169,Croydon,Croydon High School,26.9,Other Independent School,Not applicable
168,Croydon,Woodcote High School,26.9,Academy Converter,Secondary
164,Croydon,The Quest Academy,26.8,Academy Sponsor Led,Secondary
156,Croydon,Keston Primary School,26.7,Community School,Primary
155,Croydon,Castle Hill Academy,26.7,Academy Sponsor Led,Primary
154,Croydon,New Valley Primary School,26.7,Academy Sponsor Led,Primary
150,Croydon,Coulsdon CofE Primary School,26.6,Voluntary Aided School,Primary
149,Croydon,Red Gates School,26.6,Community Special School,Not applicable
148,Croydon,Gilbert Scott Primary School,26.6,Community School,Primary
126,Croydon,Courtwood Primary School,26.4,Community School,Primary
119,Croydon,The Hayes Primary School,26.3,Community School,Primary
105,Croydon,Coulsdon Sixth Form College,26.1,Further Education,16 Plus
96,Croydon,Kenley Primary School,25.9,Community School,Primary
86,Croydon,Greenvale Primary School,25.7,Community School,Primary
74,Croydon,Fairchildes Primary School,25.4,Academy Converter,Primary
73,Croydon,Rowdown Primary School,25.4,Academy Sponsor Led,Primary
69,Croydon,Oasis Academy Byron,25.3,Academy Converter,Primary
61,Croydon,Kingsdown Secondary School,25.2,Other Independent Special School,Not applicable
60,Croydon,Riddlesdown Collegiate,25.2,Academy Converter,Secondary
45,Croydon,Oasis Academy Coulsdon,24.8,Academy Sponsor Led,Secondary
34,Croydon,Meridian High School,24.6,Academy Sponsor Led,Secondary
3088,Ealing,Christ the Saviour Church of England Primary School,48.7,Voluntary Aided School,Primary
3045,Ealing,Oldfield Primary School,47.5,Community School,Primary
2955,Ealing,La Chouette School,45.4,Other Independent School,Not applicable
2924,Ealing,Springhallow School,45,Community Special School,Not applicable
2923,Ealing,William Perkin Church of England High School,45,Free Schools,Secondary
2895,Ealing,Ark Byron Primary Academy,44.6,Free Schools,Primary
2847,Ealing,Barbara Speake Stage School,44,Other Independent School,Not applicable
2835,Ealing,Ealing Alternative Provision,43.8,Pupil Referral Unit,Not applicable
2827,Ealing,London Bunka Yochien School,43.7,Other Independent School,Not applicable
2814,Ealing,Insights Independent School,43.5,Other Independent Special School,Not applicable
2788,Ealing,East Acton Primary School,43.2,Community School,Primary
2747,Ealing,Acorn House College,42.7,Other Independent School,Not applicable
2721,Ealing,King Fahad Academy,42.2,Other Independent School,Not applicable
2720,Ealing,Ayesha Siddiqa Girls School,42.2,Other Independent School,Not applicable
2647,Ealing,Ealing Independent College,41.5,Other Independent School,Not applicable
2624,Ealing,Ark Priory Primary Academy,41.3,Academy Sponsor Led,Primary
2596,Ealing,North West London Independent Special School,41.1,Other Independent Special School,Not applicable
2580,Ealing,Hambrough Primary School,40.9,Community School,Primary
2568,Ealing,Notting Hill and Ealing High School,40.8,Other Independent School,Not applicable
2503,Ealing,St Augustine's Priory,40.3,Other Independent School,Not applicable
2485,Ealing,Leap Service - the National Autistics Society,40.2,Miscellaneous,Not applicable
2484,Ealing,Ealing Primary Centre,40.2,Pupil Referral Unit,Not applicable
2445,Ealing,Acton High School,39.9,Community School,Secondary
2444,Ealing,The Ellen Wilkinson School for Girls,39.9,Foundation School,Secondary
2372,Ealing,St John's Primary School,39.4,Community School,Primary
2371,Ealing,Clifton Lodge School,39.4,Other Independent School,Not applicable
2356,Ealing,One World Preparatory School,39.3,Other Independent School,Not applicable
2261,Ealing,John Perryn Primary School,38.7,Community School,Primary
2260,Ealing,Durston House School,38.7,Other Independent School,Not applicable
2241,Ealing,St Ann's School,38.6,Community Special School,Not applicable
2225,Ealing,Our Lady of the Visitation Catholic Primary School,38.5,Voluntary Aided School,Primary
2207,Ealing,Harvington Prep School,38.4,Other Independent School,Not applicable
2174,Ealing,St Joseph's Catholic Primary School,38.2,Voluntary Aided School,Primary
2156,Ealing,Featherstone Primary and Nursery School,38.1,Community School,Primary
2120,Ealing,Maples Children's Centre,37.9,LA Nursery School,Nursery
2064,Ealing,The Japanese School,37.6,Other Independent School,Not applicable
2063,Ealing,Alec Reed Academy,37.6,Academy Sponsor Led,All Through
2049,Ealing,West Acton Primary School,37.5,Community School,Primary
2048,Ealing,John Chilton School,37.5,Community Special School,Not applicable
2047,Ealing,Twyford Church of England High School,37.5,Academy Converter,Secondary
2028,Ealing,Derwentwater Primary School,37.4,Community School,Primary
2027,Ealing,Grange Primary School,37.4,Community School,Primary
1987,Ealing,Southfield Primary School,37.2,Community School,Primary
1976,Ealing,St Mark's Primary School,37.1,Community School,Primary
1958,Ealing,St Marys Church of England Primary Norwood Green,37,Free Schools,Primary
1943,Ealing,South Acton Childrens Centre,36.9,LA Nursery School,Nursery
1942,Ealing,Mount Carmel Catholic Primary School,36.9,Voluntary Aided School,Primary
1927,Ealing,University of West London,36.8,Higher Education Institutions,Not applicable
1912,Ealing,Berrymede Junior School,36.7,Community School,Primary
1911,Ealing,Berrymede Infant School,36.7,Community School,Primary
1894,Ealing,Orchard House School,36.6,Other Independent School,Not applicable
1876,Ealing,Little Ealing Primary School,36.5,Community School,Primary
1857,Ealing,West Twyford Primary School,36.4,Community School,Primary
1856,Ealing,Wolf Fields Primary School,36.4,Community School,Primary
1839,Ealing,Khalsa VA Primary School,36.3,Voluntary Aided School,Primary
1798,Ealing,Featherstone High School,36,Academy Converter,Secondary
1784,Ealing,St Vincent's Catholic Primary School,35.9,Voluntary Aided School,Primary
1783,Ealing,The Cardinal Wiseman Catholic School,35.9,Voluntary Aided School,Secondary
1782,Ealing,Greek Primary School of London,35.9,Other Independent School,Not applicable
1719,Ealing,North Primary School,35.6,Community School,Primary
1638,Ealing,Elthorne Park High School,35.2,Community School,Secondary
1622,Ealing,Hobbayne Primary School,35.1,Community School,Primary
1621,Ealing,The Sybil Elgar School,35.1,Other Independent Special School,Not applicable
1603,Ealing,Havelock Primary School,35,Community School,Primary
1570,Ealing,Grove House Children Centre,34.8,LA Nursery School,Nursery
1549,Ealing,Villiers High School,34.7,Foundation School,Secondary
1532,Ealing,North Ealing Primary School,34.6,Community School,Primary
1531,Ealing,Drayton Manor High School,34.6,Academy Converter,Secondary
1512,Ealing,The Holy Family Catholic Primary School,34.5,Voluntary Aided School,Primary
1494,Ealing,St Benedict's School,34.4,Other Independent School,Not applicable
1467,Ealing,Coston Primary School,34.2,Community School,Primary
1466,Ealing,Edward Betham Church of England Primary School,34.2,Voluntary Aided School,Primary
1465,Ealing,Brentside High School,34.2,Foundation School,Secondary
1464,Ealing,Belvue School,34.2,Community Special School,Not applicable
1446,Ealing,Lady Margaret Primary School,34.1,Community School,Primary
1445,Ealing,Avenue House School,34.1,Other Independent School,Not applicable
1409,Ealing,Beaconsfield Primary and Nursery School,33.9,Community School,Primary
1408,Ealing,Drayton Green Primary School,33.9,Community School,Primary
1407,Ealing,Ravenor Primary School,33.9,Community School,Primary
1364,Ealing,St Gregory's Catholic Primary School,33.7,Voluntary Aided School,Primary
1330,Ealing,Horsenden Primary School,33.6,Community School,Primary
1329,Ealing,The Eden School (SDA),33.6,Other Independent School,Not applicable
1308,Ealing,Dormers Wells High School,33.5,Community School,Secondary
1307,Ealing,Mandeville School,33.5,Community Special School,Not applicable
1286,Ealing,Blair Peach Primary School,33.4,Community School,Primary
1285,Ealing,Oaklands Primary School,33.4,Community School,Primary
1284,Ealing,Brentside Primary School,33.4,Academy Converter,Primary
1257,Ealing,Montpelier Primary School,33.3,Community School,Primary
1220,Ealing,Clifton Primary School,33.1,Community School,Primary
1219,Ealing,Greenford High School,33.1,Foundation School,Secondary
1197,Ealing,Stanhope Primary School,33,Community School,Primary
1196,Ealing,Petts Hill Primary School,33,Community School,Primary
1179,Ealing,Vicar's Green Primary School,32.9,Community School,Primary
1155,Ealing,St John Fisher Catholic Primary School,32.8,Voluntary Aided School,Primary
1154,Ealing,St Anselm's Catholic Primary School,32.8,Voluntary Aided School,Primary
1111,Ealing,Allenby Primary School,32.6,Community School,Primary
1110,Ealing,Fielding Primary School,32.6,Community School,Primary
1109,Ealing,Dormers Wells Junior School,32.6,Foundation School,Primary
1108,Ealing,Dormers Wells Infant School,32.6,Foundation School,Primary
1084,Ealing,Dairy Meadow Primary School,32.5,Community School,Primary
1049,Ealing,Selborne Primary School,32.3,Community School,Primary
1023,Ealing,Greenfields Childrens Centre,32.2,LA Nursery School,Nursery
1022,Ealing,Viking Primary School,32.2,Community School,Primary
1021,Ealing,Castlebar School,32.2,Community Special School,Not applicable
996,Ealing,Perivale Primary School,32.1,Community School,Primary
974,Ealing,Durdans Park Primary School,32,Community School,Primary
973,Ealing,Hathaway Primary School,32,Community School,Primary
917,Ealing,Three Bridges Primary School,31.7,Community School,Primary
901,Ealing,Tudor Primary School,31.6,Community School,Primary
871,Ealing,Greenwood Primary School,31.4,Community School,Primary
870,Ealing,Wood End Infant School,31.4,Foundation School,Primary
869,Ealing,Wood End Academy,31.4,Academy Converter,Primary
813,Ealing,Mayfield Primary School,31.1,Community School,Primary
771,Ealing,Gifford Primary School,30.9,Community School,Primary
644,Ealing,Northolt High School,30.3,Foundation School,Secondary
544,Ealing,Downe Manor Primary School,29.8,Community School,Primary
484,Ealing,Willow Tree Primary School,29.5,Community School,Primary
412,Ealing,St Raphael's Catholic Primary School,29.1,Voluntary Aided School,Primary
2954,Enfield,Meridian Angel Primary School,45.4,Free Schools,Primary
2826,Enfield,Bowes Primary School,43.7,Community School,Primary
2623,Enfield,Edmonton County School,41.3,Community School,All Through
2473,Enfield,Kingsmead School,40.1,Academy Converter,Secondary
2456,Enfield,Broomfield School,40,Foundation School,Secondary
2385,Enfield,Raynham Primary School,39.5,Community School,Primary
2289,Enfield,St John and St James CofE Primary School,38.9,Voluntary Aided School,Primary
1910,Enfield,Firs Farm Primary School,36.7,Community School,Primary
1875,Enfield,Fleecefield Primary School,36.5,Community School,Primary
1874,Enfield,St Edmunds Catholic Primary School,36.5,Voluntary Aided School,Primary
1873,Enfield,Starks Field Primary School,36.5,Community School,Primary
1872,Enfield,Freshsteps,36.5,Other Independent School,Not applicable
1718,Enfield,St Anne's Catholic High School for Girls,35.6,Voluntary Aided School,Secondary
1701,Enfield,St James CofE Primary School,35.5,Voluntary Aided School,Primary
1602,Enfield,Our Lady of Lourdes Catholic Primary School,35,Voluntary Aided School,Primary
1586,Enfield,Tottenhall Infant School,34.9,Community School,Primary
1585,Enfield,Focus 1st Academy,34.9,Other Independent School,Not applicable
1569,Enfield,Russet House School,34.8,Community Special School,Not applicable
1493,Enfield,Southbury Primary School,34.4,Community School,Primary
1492,Enfield,St Michael at Bowes CofE Junior School,34.4,Voluntary Aided School,Primary
1481,Enfield,Aylward Academy,34.3,Academy Sponsor Led,Secondary
1363,Enfield,Lea Valley High School,33.7,Community School,Secondary
1328,Enfield,Wilbury Primary School,33.6,Community School,Primary
1283,Enfield,Applied Educational Solutions,33.4,Other Independent Special School,Not applicable
1256,Enfield,Freezywater St George's CofE Primary School,33.3,Voluntary Aided School,Primary
1218,Enfield,George Spicer Primary School,33.1,Community School,Primary
1195,Enfield,Oakthorpe Primary School,33,Community School,Primary
1178,Enfield,Phoenix Academy,32.9,Other Independent School,Not applicable
1153,Enfield,Garfield Primary School,32.8,Community School,Primary
1152,Enfield,Enfield Heights Academy,32.8,Free Schools,Primary
1107,Enfield,St Mary's RC Primary School,32.6,Voluntary Aided School,Primary
1064,Enfield,St Monica's RC Primary School,32.4,Voluntary Aided School,Primary
1048,Enfield,Walker Primary School,32.3,Community School,Primary
1047,Enfield,Enfield Grammar School,32.3,Academy Converter,Secondary
1020,Enfield,Latymer All Saints CofE Primary School,32.2,Voluntary Aided School,Primary
1019,Enfield,Brettenham Primary School,32.2,Community School,Primary
995,Enfield,Durants School,32.1,Community Special School,Not applicable
972,Enfield,Enfield Secondary Tuition Centre,32,Pupil Referral Unit,Not applicable
971,Enfield,Carterhatch Junior School,32,Community School,Primary
970,Enfield,Carterhatch Infant School,32,Community School,Primary
969,Enfield,Palmers Green High School,32,Other Independent School,Not applicable
933,Enfield,Houndsfield Primary School,31.8,Community School,Primary
932,Enfield,The Latymer School,31.8,Voluntary Aided School,Secondary
916,Enfield,Hazelwood Junior School,31.7,Community School,Primary
915,Enfield,Hazelwood Infant School,31.7,Community School,Primary
900,Enfield,St Andrew's Southgate Primary School (CE),31.6,Voluntary Aided School,Primary
899,Enfield,West Lea School,31.6,Community Special School,Not applicable
898,Enfield,Waverley School,31.6,Community Special School,Not applicable
889,Enfield,Hazelbury Infant School,31.5,Community School,Primary
888,Enfield,Hazelbury Junior School,31.5,Community School,Primary
851,Enfield,Churchfield Primary School,31.3,Community School,Primary
832,Enfield,The Raglan Junior School,31.2,Community School,Primary
831,Enfield,Keble Preparatory School,31.2,Other Independent School,Not applicable
830,Enfield,Grange Park Preparatory School,31.2,Other Independent School,Not applicable
812,Enfield,Raglan Infant School,31.1,Community School,Primary
811,Enfield,Alma Primary School,31.1,Community School,Primary
810,Enfield,Bush Hill Park Primary School,31.1,Community School,Primary
752,Enfield,Eldon Primary School,30.8,Community School,Primary
751,Enfield,Woodpecker Hall Primary Academy,30.8,Free Schools,Primary
750,Enfield,Heron Hall Academy,30.8,Free Schools,Secondary
711,Enfield,Oaktree School,30.6,Community Special School,Not applicable
684,Enfield,Cuckoo Hall Academy,30.5,Academy Converter,Primary
662,Enfield,Highfield Primary School,30.4,Community School,Primary
661,Enfield,Nightingale Academy,30.4,Academy Sponsor Led,Secondary
643,Enfield,Capel Manor Primary School,30.3,Community School,Primary
642,Enfield,Salcombe School,30.3,Other Independent School,Not applicable
580,Enfield,Honilands Primary School,30,Community School,Primary
579,Enfield,Winchmore School,30,Community School,Secondary
565,Enfield,St Paul's CofE Primary School,29.9,Voluntary Aided School,Primary
543,Enfield,Wolfson Hillel Primary School,29.8,Voluntary Aided School,Primary
542,Enfield,St Matthew's CofE Primary School,29.8,Voluntary Aided School,Primary
541,Enfield,Vita Et Pax School,29.8,Other Independent School,Not applicable
540,Enfield,Oasis Academy Hadley,29.8,Academy Sponsor Led,All Through
507,Enfield,St George's RC Primary School,29.6,Voluntary Aided School,Primary
506,Enfield,West Grove Primary School,29.6,Community School,Primary
463,Enfield,Galliard Primary School,29.4,Community School,Primary
462,Enfield,St Michael's CofE Primary School,29.4,Voluntary Aided School,Primary
461,Enfield,St John's Preparatory and Senior School,29.4,Other Independent School,Not applicable
460,Enfield,Kingfisher Hall Primary Academy,29.4,Free Schools,Primary
446,Enfield,Chase Side Primary School,29.3,Community School,Primary
394,Enfield,Brimsdown Primary School,29,Community School,Primary
347,Enfield,Suffolks Primary School,28.7,Community School,Primary
346,Enfield,De Bohun Primary School,28.7,Community School,Primary
345,Enfield,Eversley Primary School,28.7,Community School,Primary
318,Enfield,St Andrew's CofE Primary School,28.4,Voluntary Aided School,Primary
317,Enfield,Bishop Stopford's School,28.4,Voluntary Aided School,Secondary
299,Enfield,Forty Hill CofE Primary School,28.3,Voluntary Aided School,Primary
298,Enfield,Enfield County School,28.3,Community School,Secondary
297,Enfield,St Ignatius College,28.3,Voluntary Aided School,Secondary
278,Enfield,Capel Manor College,28.2,Further Education,16 Plus
