URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName
100743,209,Lewisham,4267,Sedgehill School,Community school,Open,,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10005733,Not applicable,Sedgehill Road,,,London,,SE6 3QW,http://www.sedgehillschool.co.uk/,2086988911,Ms,Clare,Cassidy
100745,209,Lewisham,4289,Forest Hill School,Community school,Open,,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Boys,Does not apply,Does not apply,Not applicable,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10002536,Not applicable,Dacres Road,Forest Hill,,London,,SE23 2XN,http://www.foresthillschool.co.uk/,2086999343,Mr,Michael,Sullivan
100747,209,Lewisham,4323,Prendergast Ladywell School,Foundation school,Open,,,All through,4,16,No boarders,Not applicable,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,Not supported by a trust,,Not applicable,,Supported by a federation,Leatherseller's Federation of Schools,10001765,Not applicable,Manwood Road,Brockley,,London,,SE4 1SA,http://www.prendergast-ladywell.com,2086901114,Mr,Niall,Hand
100748,209,Lewisham,4600,Addey and Stanhope School,Voluntary aided school,Open,,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,None,Does not apply,Not applicable,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10000136,Not applicable,472 New Cross Road,New Cross,,London,,SE14 6TJ,http://www.as.lewisham.sch.uk,2083056100,Ms,Janice,Shapiro
100749,209,Lewisham,4636,"Trinity Church of England School, Lewisham",Voluntary aided school,Open,,,All through,4,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10016684,Not applicable,Taunton Road,Lee,,London,,SE12 8PD,,2088523191,Mr,David,Lucas
100750,209,Lewisham,4646,Prendergast School,Voluntary aided school,Open,,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Girls,None,Does not apply,Not applicable,Non-selective,Not applicable,,Not applicable,,Supported by a federation,Leatherseller's Federation of Schools,10005193,Not applicable,Adelaide Avenue,Brockley,,London,,SE4 1LE,http://www.prendergast-school.com,2086903710,Ms,Paula,Ledger
100752,209,Lewisham,4802,Bonus Pastor Catholic College,Voluntary aided school,Open,,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10014886,Not applicable,Winlaton Road,Downham,,Bromley,Kent,BR1 5PZ,http://www.bonuspastor.co.uk/,2086952100,Mr,Jonathan,Ronan
100754,209,Lewisham,6032,St Dunstan's College,Other independent school,Open,01-01-1904,,Not applicable,3,18,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Church of England,Church of England,Not applicable,Selective,Not applicable,,Not applicable,,Not applicable,,10017245,Not applicable,Stanstead Road,Catford,,LONDON,,SE6 4TY,www.stdunstans.org.uk,2085167200,Mr,Nicholas,Hewlett
100757,209,Lewisham,6309,Sydenham High School GDST,Other independent school,Open,30-09-1980,,Not applicable,4,18,No boarders,No Nursery Classes,Has a sixth form,Girls,None,Inter- / non- denominational,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10008540,Not applicable,19 Westwood Hill,,,London,,SE26 6BL,https://www.sydenhamhighschool.gdst.net/,2085577000,Mrs,Katharine,Woodcock
100760,209,Lewisham,7038,Brent Knoll School,Foundation special school,Open,,,Not applicable,4,16,No boarders,No Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a trust,*Co-op Brent Knoll and Watergate Co-operative Trust,Not applicable,,Not under a federation,,10015159,Not applicable,Perry Rise,,,London,,SE23 2QU,www.brentknollschool.co.uk,2086991047,Mr,Andy,Taylor
100763,209,Lewisham,7141,New Woodlands School,Community special school,Open,,,Not applicable,5,16,No boarders,Not applicable,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10022970,Not applicable,Shroffold Road,Downham,,Bromley,Kent,BR1 5PD,newwoodlands.lewisham.sch.uk,2086952380,Miss,Carlie,Warner
100765,209,Lewisham,7180,Greenvale School,Community special school,Open,,,Not applicable,11,19,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10015625,Not applicable,Waters Road,Catford,,London,,SE6 1UF,www.greenvale.lewisham.sch.uk,2084650740,Mrs,Lynne,Haines
100766,209,Lewisham,7182,Watergate School,Foundation special school,Open,,,Not applicable,3,11,No boarders,Has Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a trust,*Co-op Brent Knoll and Watergate Co-operative Trust,Not applicable,,Not under a federation,,10077050,Not applicable,Lushington Road,Bellingham,,London,,SE6 3WG,,2086956555,,Anne,O'Rorke
130415,209,Lewisham,8006,LeSoCo,Further education,Open,,,16 plus,16,99,,Not applicable,Not applicable,Mixed,Does not apply,,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10003894,General Further Education College,Lewisham Way,,,London,,SE4 1UT,lesoco.ac.uk,2086920353,Mrs,Carole,Kitching
130416,209,Lewisham,8600,Christ The King Sixth Form College,Further education,Open,,,16 plus,16,99,,Not applicable,Not applicable,Mixed,Roman Catholic,,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10001416,Sixth Form College (Voluntary Aided),Belmont Grove,Lewisham,,London,,SE13 5GE,http://www.ctksfc.ac.uk/,2082979433,Mr,Rob,McAuliffe
130856,209,Lewisham,1103,Abbey Manor College,Pupil referral unit,Open,01-09-2005,,Not applicable,11,19,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10016920,Not applicable,40 Falmouth Close,,,London,,SE12 8JP,www.abbeymanorcollege.com,2082977060,Mrs,Heather,Johnston
132942,209,Lewisham,4950,Sydenham and Forest Hill Sixth Form,Sixth form centres,Open,,,Not applicable,16,19,,Not applicable,Not applicable,Mixed,,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10029080,Not applicable,,,,,,,,2082918484,,to be,confirmed
133223,209,Lewisham,9900,Allenby Tutorial Trust,Miscellaneous,Open,,,Not applicable,11,17,No boarders,Not applicable,Not applicable,Mixed,,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10017903,Not applicable,62-72 Dalmain Road,,,London,,SE23 1AT,,2086990717,Mr,O M,Woodcock
133447,209,Lewisham,6361,Kings Kids Christian School,Other independent school,Open,16-10-2001,,Not applicable,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,None,Christian,Not applicable,Non-selective,Not applicable,,Not applicable,,Not applicable,,10079198,Not applicable,100 Woodpecker Road,,New Cross,London,,SE14 6EU,www.kingskidschristianschool.org.uk,2086915813,Mrs,M,Okenwa
133877,209,Lewisham,,"Goldsmiths College, University of London",Higher education institutions,Open,,,Not applicable,,,No boarders,Not applicable,Not applicable,Mixed,,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10002718,Not applicable,New Cross,,,London,,SE14 6NW,http://www.gold.ac.uk/,2079197171,Ms,K,Stables
134400,209,Lewisham,6363,Olive Tree School,Other independent school,Open,29-08-2003,,Not applicable,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Islam,Muslim,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10079179,Not applicable,363-365 Lewisham High Street,Lewisham,,London,,SE13 6NZ,www.otsprimary.co.uk,2083140169,Mrs,Aqleema Taahira,Rahmaan
135070,209,Lewisham,6906,Haberdashers' Aske's Knights Academy,Academy sponsor led,Open,01-09-2005,,All through,3,18,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,Supported by a multi-academy trust,HABERDASHERS' ASKE'S FEDERATION TRUST,Linked to a sponsor,The Haberdashers' Livery Company,Not applicable,,10015563,Not applicable,Launcelot Road,,,Bromley,Kent,BR1 5EB,www.haaf.org.uk,2084619240,Dr,Tesca,Bennett
135073,209,Lewisham,6905,Haberdashers' Aske's Hatcham College,Academy sponsor led,Open,01-09-2005,,All through,3,18,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,Supported by a multi-academy trust,HABERDASHERS' ASKE'S FEDERATION TRUST,Linked to a sponsor,The Haberdashers' Livery Company,Not applicable,,10007941,Not applicable,Pepys Road,,New Cross,London,,SE14 5SF,www.haaf.org.uk,2076529510,Mr,Alex,Williamson
135264,209,Lewisham,6907,St Matthew Academy,Academy sponsor led,Open,01-09-2007,,All through,3,16,No boarders,Has Nursery Classes,Not applicable,Mixed,Roman Catholic,None,Archdiocese of Southwark,Non-selective,Supported by a single-academy trust,ST MATTHEW ACADEMY,Linked to a sponsor,Archdiocese of Southwark,Not applicable,,10021091,Not applicable,St Joseph's Vale,,Blackheath,London,,SE3 0XX,,2088536250,Ms,Miranda,Baldwin
135843,209,Lewisham,5201,Prendergast Vale School,Foundation school,Open,01-09-2011,,All through,3,16,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,None,Does not apply,Not applicable,Non-selective,Not supported by a trust,,Not applicable,,Supported by a federation,Leatherseller's Federation of Schools,10035283,Not applicable,Elmira Street,Lewisham,,London,,SE13 7BN,www.prendergast-vale.com,2082973540,Mr,Duncan,Kamya
135901,209,Lewisham,6409,Marathon Science School,Other independent school,Open,20-07-2009,,Not applicable,10,19,Boarding school,No Nursery Classes,Has a sixth form,Boys,None,None,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10027457,Not applicable,1-9 Evelyn Street,Surrey Quays,,London,,SE8 5RQ,www.marathonschool.com,2072313232,Mr,Uzeyir,Onur
136423,209,Lewisham,7183,Drumbeat School and ASD Service,Community special school,Open,01-09-2012,,Not applicable,4,19,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10038787,Not applicable,Roundtable Rd & Revelon Rd,Downham and Brockley,,London,,BR1 5LE,http://www.drumbeatasd.org/,2086989738,Mrs,Marie,Neave
137441,209,Lewisham,2599,Tidemill Academy,Academy converter,Open,01-09-2011,,Primary,3,11,No boarders,Has Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,REACH2 ACADEMY TRUST,Linked to a sponsor,REAch2 Academy Trust,Not applicable,,10035103,Not applicable,11 Giffin Street,,,London,,SE8 4RJ,www.tidemill.net,2086923470,,Lorraine,Stewart
139331,209,Lewisham,6000,Rose House Montessori School,Other independent school,Open,25-02-2013,,Not applicable,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,None,None,Not applicable,Selective,Not applicable,,Not applicable,,Not applicable,,10079913,Not applicable,The Chapel-on-the-Hill,South Road,,London,,SE23 2UJ,http://www.rose-house-montessori.com,2086999260,Dr,Ursula,Nerre
139672,209,Lewisham,2001,Haberdashers' Aske's Hatcham Temple Grove Free School,Free schools,Open,01-09-2013,,Primary,4,11,Not applicable,No Nursery Classes,Does not have a sixth form,Mixed,None,None,,Not applicable,Supported by a multi-academy trust,HABERDASHERS' ASKE'S FEDERATION TRUST,Linked to a sponsor,The Haberdashers' Livery Company,Not applicable,,10041711,Not applicable,Pepys Road,,,London,,SE14 5SF,www.haaf.org.uk/,2076529510,Mr,David,Welsh
142456,209,Lewisham,2002,St Winifred's RC Primary School,Voluntary aided school,Open,01-04-2016,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10070238,,Newstead Road,Lee,,London,,SE12 0SJ,,2088578792,,Margaret,Hanrahan
143838,209,Lewisham,6002,TLG Lewisham,Other independent school,Open,04-05-2017,,Not applicable,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,None,Christian,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10071894,,1 Cornmill Lane,,,London,,SE13 7FY,,2083186133,,Not,Recorded
143933,209,Lewisham,6003,Education My Life Matters,Other independent school,Open,14-12-2016,,Not applicable,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,None,None,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,10071883,,The New Generation Centre,111 Wells Park Road,Lewisham,Sydenham,,SE26 6AD,http://www.emlm.org.uk/,2086989663,,Teresa,Fagan
145621,209,Lewisham,3325,St George's CofE Primary School,Academy converter,Open,01-05-2018,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Supported by a multi-academy trust,SDBE MULTI-ACADEMY TRUST,Linked to a sponsor,Southwark Diocesan Board of Education,Not applicable,,10067235,Not applicable,Perry Vale,Forest Hill,,London,,SE23 2NE,www.stgeorges.lewisham.sch.uk/,2086995127,Ms,Geraldine,Constable
146100,209,Lewisham,2004,Turnham Academy,Academy sponsor led,Open,01-08-2018,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,None,None,Not applicable,Not applicable,Supported by a multi-academy trust,STEP ACADEMY TRUST,Linked to a sponsor,STEP ACADEMY TRUST,Not applicable,,10068334,,Turnham Road,Brockley,,London,,SE4 2HH,,2076390440,Mr,John,Halliwell
146221,209,Lewisham,2108,Childeric Primary School,Academy converter,Open,01-09-2018,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,COMMUNITAS EDUCATION TRUST,-,,Not applicable,,10068493,Not applicable,Childeric Road,New Cross,,London,,SE14 6DG,www.childericprimary.co.uk,2086923453,Miss,Ann,Butcher
146277,209,Lewisham,6005,Young Women's Hub,Other independent special school,Open,20-12-2018,,Not applicable,11,16,,Not applicable,Not applicable,Girls,None,None,Not applicable,Not applicable,Not applicable,,Not applicable,,Not applicable,,,,308 Brownhill Road,,,London,,SE6 1AU,,2086986675,,Philippa,Wall
